timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
1,-18.74,-0.2,-0.18155424,0.3948,4.0,194.13333,0.0,37.0,1456.0,64.0,1.0,53.4234,10.0,1,10,<unknown>,<unknown>,6,4,12,3
2,1.0,-0.65000004,-1.0749694,0.0188,13.0,103.53846,0.0,4.0,3365.0,269.0,1.0,158.84639,30.0,1,10,<unknown>,<unknown>,19,4,23,3
3,-1.0500001,-2.3,-1.1845572,0.041,46.0,22.869566,0.0,39.0,2630.0,953.0,1.0,171.77776,30.0,81,10,<unknown>,<unknown>,19,6,16,5
4,-0.37000003,-2.3,-1.4343406,0.0274,46.0,15.26087,0.0,128.0,1755.0,967.0,1.0,201.2522,70.0,90,10,<unknown>,<unknown>,14,6,10,5
5,-0.37000003,-2.3,-1.462291,0.0274,46.0,18.33913,0.0,61.0,2109.0,967.0,1.0,204.55034,10.0,87,10,<unknown>,<unknown>,9,6,14,5
6,1.0,-2.8,-1.7519851,0.017,56.0,34.97391,0.0,16.0,4022.0,967.0,1.0,238.73424,50.0,73,10,<unknown>,<unknown>,14,6,12,5
7,1.0,-2.8,-1.8824085,0.0154,56.0,39.021427,0.0,12.0,5463.0,1168.0,1.0,254.1242,70.0,32,10,<unknown>,<unknown>,28,6,21,5
8,1.0,-2.8,-1.7354921,0.0178,56.0,43.764286,0.0,21.0,6127.0,1171.0,1.0,236.78807,50.0,39,10,<unknown>,<unknown>,32,6,35,5
9,1.0,-2.8,-1.7664706,0.018,56.0,44.221428,0.0,22.0,6191.0,1176.0,1.0,240.44353,50.0,49,10,<unknown>,<unknown>,46,6,38,5
10,-0.31000003,-2.8,-1.4402514,0.0262,56.0,32.435715,0.0,118.0,4541.0,1177.0,1.0,201.94966,90.0,77,10,<unknown>,<unknown>,38,6,31,5
11,-0.29000008,-2.8,-1.3290988,0.0258,56.0,31.557142,0.0,59.0,4418.0,1177.0,1.0,188.83366,90.0,69,10,<unknown>,<unknown>,30,6,30,5
12,-0.30500004,-2.5,-1.4102656,0.0261,50.0,29.835714,0.0,56.0,4177.0,1177.0,1.0,198.41133,10.0,72,10,<unknown>,<unknown>,24,6,25,5
13,-0.33,-2.5,-1.3122364,0.0266,50.0,32.672,0.0,104.0,4084.0,1051.0,1.0,186.8439,10.0,77,10,<unknown>,<unknown>,32,6,27,5
14,1.0,-2.5,-1.560631,0.0167,50.0,44.28,0.0,16.0,5535.0,1051.0,1.0,216.15446,50.0,32,10,<unknown>,<unknown>,42,6,36,5
15,1.0,-2.2,-1.7538717,0.0154,44.0,44.672726,0.0,11.0,4914.0,925.0,1.0,238.95686,10.0,26,10,<unknown>,<unknown>,33,6,32,5
16,-0.33,-2.6000001,-1.2339692,0.0266,52.0,21.976923,0.0,75.0,2857.0,1087.0,1.0,177.60837,70.0,86,10,<unknown>,<unknown>,19,6,19,5
17,-0.335,-2.6000001,-1.3558028,0.0267,52.0,21.561539,0.0,118.0,2803.0,1093.0,1.0,191.98473,50.0,82,10,<unknown>,<unknown>,20,6,19,5
18,-0.335,-2.6000001,-1.372186,0.0267,52.0,19.453846,0.0,116.0,2529.0,1093.0,1.0,193.91794,70.0,79,10,<unknown>,<unknown>,15,6,17,5
19,1.0,-2.6000001,-1.573709,0.0178,52.0,26.323076,0.0,20.0,3422.0,1094.0,1.0,217.69766,90.0,73,10,<unknown>,<unknown>,23,6,22,5
20,-0.32500002,-2.6000001,-1.2624215,0.0265,52.0,18.761538,0.0,110.0,2439.0,1093.0,1.0,180.96573,10.0,84,10,<unknown>,<unknown>,17,6,16,5
21,-0.40500006,-2.05,-1.2161517,0.0281,41.0,23.27111,0.0,123.0,2618.0,946.0,1.0,175.5059,50.0,81,10,<unknown>,<unknown>,17,6,17,5
22,-0.055,-2.05,-1.4835814,0.0211,41.0,30.634146,0.0,26.0,3140.0,863.0,1.0,207.0626,70.0,79,10,<unknown>,<unknown>,21,6,18,4
23,-0.44,-2.05,-1.3075141,0.0288,41.0,25.034147,0.0,115.0,2566.0,862.0,1.0,186.28667,50.0,83,10,<unknown>,<unknown>,17,6,16,4
24,1.0,-2.05,-1.6248503,0.017,41.0,33.960976,0.0,15.0,3481.0,862.0,1.0,223.73233,50.0,58,10,<unknown>,<unknown>,22,6,20,4
25,-0.42500004,-2.05,-1.3714598,0.0285,41.0,26.360975,0.0,60.0,2702.0,862.0,1.0,193.83226,70.0,86,10,<unknown>,<unknown>,16,6,14,4
26,1.0,-2.5,-1.6958649,0.0165,50.0,42.214634,0.0,13.0,4327.0,862.0,1.0,232.11206,90.0,44,10,<unknown>,<unknown>,25,5,22,4
27,1.0,-2.5,-1.8244146,0.0133,50.0,34.544,0.0,5.0,4318.0,1042.0,1.0,247.28093,90.0,2,10,<unknown>,<unknown>,28,6,27,5
28,1.0,-2.5,-1.8275175,0.0133,50.0,34.656,0.0,5.0,4332.0,1044.0,1.0,247.64706,90.0,2,10,<unknown>,<unknown>,28,6,28,5
29,1.0,-2.5,-1.6919559,0.0129,50.0,29.192,0.0,4.0,3649.0,1042.0,1.0,231.6508,90.0,1,10,<unknown>,<unknown>,23,6,23,5
30,1.0,-2.5,-1.5139192,0.0124,50.0,22.888,0.0,3.0,2861.0,1045.0,1.0,210.64247,70.0,1,10,<unknown>,<unknown>,19,6,18,5
31,1.0,-3.15,-1.3572768,0.0177,63.0,22.056,0.0,19.0,2757.0,1045.0,1.0,192.15866,30.0,76,10,<unknown>,<unknown>,18,6,20,5
32,1.0,-3.15,-1.2232944,0.012,63.0,12.948387,0.0,2.0,2007.0,1288.0,1.0,176.34874,10.0,1,10,<unknown>,<unknown>,13,6,12,5
33,1.0,-3.15,-1.8303604,0.0132,63.0,27.509678,0.0,5.0,4264.0,1289.0,1.0,247.98253,70.0,3,10,<unknown>,<unknown>,26,6,27,5
34,1.0,-3.15,-1.524187,0.0124,63.0,18.522581,0.0,3.0,2871.0,1288.0,1.0,211.85406,70.0,1,10,<unknown>,<unknown>,18,6,19,5
35,1.0,-3.15,-1.6976926,0.013,63.0,23.909678,0.0,4.0,3706.0,1287.0,1.0,232.32773,90.0,2,10,<unknown>,<unknown>,24,6,22,5
36,1.0,-2.7,-1.8243142,0.015,54.0,22.23871,0.0,10.0,3447.0,1286.0,1.0,247.26907,90.0,37,10,<unknown>,<unknown>,18,6,19,5
37,1.0,-2.7,-1.9846034,0.0141,54.0,41.496296,0.0,7.0,5602.0,1128.0,1.0,266.1832,50.0,4,10,<unknown>,<unknown>,33,6,38,5
38,1.0,-2.7,-1.2203125,0.0122,54.0,14.688889,0.0,2.0,1983.0,1128.0,1.0,175.99687,10.0,1,10,<unknown>,<unknown>,12,6,13,5
39,1.0,-3.55,-1.4122735,0.0179,71.0,12.980645,0.0,20.0,2012.0,1293.0,1.0,198.64827,30.0,83,10,<unknown>,<unknown>,15,6,13,5
40,-0.26000002,-3.55,-1.358561,0.0252,71.0,8.419354,0.0,64.0,1305.0,1302.0,1.0,192.3102,90.0,91,10,<unknown>,<unknown>,6,6,8,5
41,1.0,-3.55,-1.667439,0.0166,71.0,14.870968,0.0,18.0,2305.0,1303.0,1.0,228.7578,70.0,83,10,<unknown>,<unknown>,12,6,10,5
42,-0.26500002,-3.55,-1.3536192,0.0253,71.0,16.232258,0.0,99.0,2516.0,1303.0,1.0,191.72707,30.0,90,10,<unknown>,<unknown>,12,6,11,5
43,-0.26000002,-3.55,-1.4108119,0.0252,71.0,20.729033,0.0,127.0,3213.0,1303.0,1.0,198.4758,10.0,88,10,<unknown>,<unknown>,19,6,18,5
44,-0.26500002,-3.55,-1.405987,0.0253,71.0,24.890322,0.0,139.0,3858.0,1303.0,1.0,197.90646,50.0,85,10,<unknown>,<unknown>,22,6,22,5
45,-0.26000002,-3.55,-1.4301181,0.0252,71.0,29.025806,0.0,130.0,4499.0,1303.0,1.0,200.75394,70.0,79,10,<unknown>,<unknown>,26,6,26,5
46,-0.275,-2.4,-1.497878,0.0255,48.0,32.387096,0.0,133.0,5020.0,1305.0,1.0,208.7496,30.0,75,10,<unknown>,<unknown>,30,6,29,5
47,-0.35000005,-2.3,-1.4472841,0.027,46.0,41.725,0.0,123.0,5007.0,1009.0,1.0,202.77953,10.0,72,10,<unknown>,<unknown>,32,6,32,5
48,-0.36000004,-2.05,-1.4631548,0.0272,41.0,41.773914,0.0,127.0,4804.0,967.0,1.0,204.65227,70.0,71,10,<unknown>,<unknown>,32,6,32,5
49,-0.41000006,-1.9,-1.4589072,0.0282,38.0,48.20488,0.0,132.0,4941.0,862.0,1.0,204.15106,90.0,66,10,<unknown>,<unknown>,31,6,29,4
50,-0.44,-1.9,-1.4521531,0.0288,38.0,50.76842,0.0,130.0,4823.0,800.0,1.0,203.35406,90.0,69,10,<unknown>,<unknown>,33,5,32,4
51,-0.45,-1.9,-1.597344,0.029,38.0,50.389473,0.0,146.0,4787.0,799.0,1.0,220.4866,90.0,74,10,<unknown>,<unknown>,31,5,32,4
52,-0.45,-1.9,-1.576469,0.029,38.0,47.56842,0.0,141.0,4519.0,801.0,1.0,218.02333,30.0,63,10,<unknown>,<unknown>,29,5,29,4
53,-0.445,-1.9,-1.5919254,0.0289,38.0,47.810528,0.0,131.0,4542.0,800.0,1.0,219.8472,90.0,70,10,<unknown>,<unknown>,30,5,30,4
54,-0.45,-1.9,-1.5729876,0.029,38.0,44.557896,0.0,131.0,4233.0,802.0,1.0,217.61253,30.0,75,10,<unknown>,<unknown>,30,5,29,4
55,-0.47000006,-1.9,-1.4698215,0.0294,38.0,46.494736,0.0,132.0,4417.0,799.0,1.0,205.43893,70.0,64,10,<unknown>,<unknown>,27,5,28,4
56,-0.45,-1.9,-1.4935712,0.029,38.0,43.23158,0.0,147.0,4107.0,800.0,1.0,208.2414,90.0,69,10,<unknown>,<unknown>,29,5,27,4
57,-0.46500006,-1.9,-1.4697621,0.0293,38.0,40.831577,0.0,166.0,3879.0,802.0,1.0,205.43193,70.0,74,10,<unknown>,<unknown>,28,5,28,4
58,-0.445,-1.9,-1.3685503,0.0289,38.0,40.91579,0.0,141.0,3887.0,803.0,1.0,193.48894,50.0,63,10,<unknown>,<unknown>,25,5,28,4
59,-0.445,-1.9,-1.3966266,0.0289,38.0,37.894737,0.0,159.0,3600.0,803.0,1.0,196.80194,70.0,67,10,<unknown>,<unknown>,26,5,24,4
60,-0.44,-1.9,-1.3584784,0.0288,38.0,35.4,0.0,160.0,3363.0,803.0,1.0,192.30046,10.0,73,10,<unknown>,<unknown>,26,5,26,4
61,-0.44,-1.9,-1.3141503,0.0288,38.0,32.8,0.0,164.0,3116.0,802.0,1.0,187.06973,30.0,67,10,<unknown>,<unknown>,24,5,26,4
62,-0.445,-1.9,-1.319066,0.0289,38.0,30.421053,0.0,138.0,2890.0,802.0,1.0,187.6498,50.0,70,10,<unknown>,<unknown>,22,5,22,4
63,-0.445,-1.9,-1.3324513,0.0289,38.0,30.68421,0.0,150.0,2915.0,801.0,1.0,189.22926,10.0,77,10,<unknown>,<unknown>,22,5,22,4
64,-0.44,-1.9,-1.3244842,0.0288,38.0,27.242105,0.0,138.0,2588.0,802.0,1.0,188.28914,10.0,77,10,<unknown>,<unknown>,21,5,22,4
65,-0.445,-1.9,-1.3264356,0.0289,38.0,22.905264,0.0,145.0,2176.0,801.0,1.0,188.5194,90.0,71,10,<unknown>,<unknown>,34,5,30,4
66,-0.445,-1.9,-1.3130492,0.0289,38.0,42.536842,0.0,131.0,4041.0,802.0,1.0,186.9398,30.0,69,10,<unknown>,<unknown>,27,5,30,4
67,-0.45,-1.9,-1.3270351,0.029,38.0,43.66316,0.0,128.0,4148.0,802.0,1.0,188.59013,90.0,68,10,<unknown>,<unknown>,23,5,23,4
68,-0.51000005,-1.7,-1.3335767,0.0302,34.0,47.211765,0.0,149.0,4013.0,721.0,1.0,189.36205,10.0,71,10,<unknown>,<unknown>,33,5,31,4
69,-0.535,-1.7,-1.3236203,0.0307,34.0,45.4,0.0,128.0,3859.0,724.0,1.0,188.1872,30.0,69,10,<unknown>,<unknown>,31,5,32,4
70,-0.535,-1.7,-1.3398271,0.0307,34.0,45.235294,0.0,130.0,3845.0,722.0,1.0,190.0996,90.0,69,10,<unknown>,<unknown>,23,5,23,4
71,-0.535,-1.7,-1.3246949,0.0307,34.0,42.258823,0.0,126.0,3592.0,725.0,1.0,188.314,70.0,73,10,<unknown>,<unknown>,28,5,21,4
72,-0.54,-1.7,-1.3271638,0.0308,34.0,39.164707,0.0,123.0,3329.0,726.0,1.0,188.60533,70.0,74,10,<unknown>,<unknown>,21,5,21,4
73,-0.52500004,-1.7,-1.3033813,0.0305,34.0,37.117645,0.0,123.0,3155.0,723.0,1.0,185.799,30.0,74,10,<unknown>,<unknown>,17,5,16,4
74,-0.53000003,-1.7,-1.3469023,0.0306,34.0,29.37647,0.0,125.0,2497.0,724.0,1.0,190.93446,10.0,77,10,<unknown>,<unknown>,18,5,18,4
75,-0.52500004,-1.7,-1.2737193,0.0305,34.0,26.788235,0.0,133.0,2277.0,728.0,1.0,182.29887,10.0,78,10,<unknown>,<unknown>,18,5,18,4
76,-0.52000004,-1.7,-1.3278638,0.0304,34.0,25.44706,0.0,135.0,2163.0,727.0,1.0,188.68793,30.0,78,10,<unknown>,<unknown>,13,5,12,4
77,-0.52000004,-1.7,-1.3344746,0.0304,34.0,23.811764,0.0,136.0,2024.0,726.0,1.0,189.468,70.0,81,10,<unknown>,<unknown>,14,5,14,4
78,-0.53000003,-1.7,-1.3411006,0.0306,34.0,27.141176,0.0,131.0,2307.0,729.0,1.0,190.24986,50.0,82,10,<unknown>,<unknown>,14,5,14,4
79,-0.52500004,-1.7,-1.3237689,0.0305,34.0,25.717648,0.0,140.0,2186.0,729.0,1.0,188.20473,90.0,82,10,<unknown>,<unknown>,11,5,11,4
80,-0.52000004,-1.7,-1.4185259,0.0304,34.0,22.129412,0.0,123.0,1881.0,732.0,1.0,199.38606,10.0,85,10,<unknown>,<unknown>,13,5,12,4
81,-0.51500005,-1.7,-1.3369638,0.0303,34.0,26.07059,0.0,83.0,2216.0,732.0,1.0,189.76172,30.0,84,10,<unknown>,<unknown>,13,5,13,4
82,-0.52000004,-1.7,-1.3796277,0.0304,34.0,27.835295,0.0,59.0,2366.0,733.0,1.0,194.79607,70.0,84,10,<unknown>,<unknown>,13,5,13,4
83,-0.51000005,-1.7,-1.3878063,0.0302,34.0,32.64706,0.0,135.0,2775.0,738.0,1.0,195.76114,30.0,84,10,<unknown>,<unknown>,15,5,15,4
84,-0.52000004,-1.7,-1.4140248,0.0304,34.0,32.058823,0.0,128.0,2725.0,738.0,1.0,198.85493,30.0,83,10,<unknown>,<unknown>,15,5,15,4
85,-0.535,-1.7,-1.3487141,0.0307,34.0,37.294117,0.0,128.0,3170.0,738.0,1.0,191.14827,70.0,83,10,<unknown>,<unknown>,15,5,17,4
86,-0.535,-1.7,-1.3814017,0.0307,34.0,40.811764,0.0,140.0,3469.0,740.0,1.0,195.0054,90.0,80,10,<unknown>,<unknown>,19,5,19,4
87,-0.52500004,-1.7,-1.3536175,0.0305,34.0,40.658825,0.0,125.0,3456.0,739.0,1.0,191.72687,10.0,78,10,<unknown>,<unknown>,19,5,19,4
88,-0.52000004,-1.7,-1.3779678,0.0304,34.0,44.611763,0.0,133.0,3792.0,739.0,1.0,194.6002,90.0,78,10,<unknown>,<unknown>,20,5,21,4
89,-0.52500004,-1.7,-1.3625441,0.0305,34.0,47.564705,0.0,128.0,4043.0,739.0,1.0,192.7802,10.0,77,10,<unknown>,<unknown>,22,5,23,4
90,-0.52000004,-1.7,-1.3944346,0.0304,34.0,47.57647,0.0,138.0,4044.0,740.0,1.0,196.54327,10.0,74,10,<unknown>,<unknown>,24,5,23,4
91,-0.52500004,-1.7,-1.3911107,0.0305,34.0,48.270588,0.0,155.0,4103.0,740.0,1.0,196.15106,70.0,75,10,<unknown>,<unknown>,23,5,25,4
