timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
1,-15.975,-0.2,-0.27243483,0.3395,4.0,199.6,0.0,37.0,499.0,23.0,1.0,64.14731,10.0,1,9,<unknown>,<unknown>,7,4,5,3
2,1.0,-0.7,-1.207606,0.0187,14.0,125.1,0.0,4.0,2502.0,166.0,1.0,174.4975,30.0,1,9,<unknown>,<unknown>,18,4,18,3
3,-0.945,-1.95,-1.1447332,0.0389,39.0,22.297436,0.0,39.0,2174.0,804.0,1.0,167.07852,30.0,86,9,<unknown>,<unknown>,11,5,13,4
4,-0.43000004,-2.3500001,-1.287759,0.0286,47.0,25.179487,0.0,128.0,2455.0,820.0,1.0,183.95555,70.0,86,9,<unknown>,<unknown>,16,5,11,5
5,-0.36500004,-2.3500001,-1.3023232,0.0273,47.0,28.0,0.0,61.0,3290.0,988.0,1.0,185.67413,10.0,84,9,<unknown>,<unknown>,8,5,13,5
6,1.0,-2.3500001,-1.6745745,0.0169,47.0,49.82979,0.0,16.0,5855.0,988.0,1.0,229.5998,50.0,52,9,<unknown>,<unknown>,25,5,36,5
7,1.0,-2.7,-1.8488141,0.0158,54.0,57.73617,0.0,12.0,6784.0,988.0,1.0,250.16006,70.0,21,9,<unknown>,<unknown>,49,5,51,5
8,1.0,-2.7,-1.7634577,0.0179,54.0,47.266666,0.0,21.0,6381.0,1129.0,1.0,240.088,50.0,46,9,<unknown>,<unknown>,40,6,45,5
9,1.0,-2.7,-1.7757022,0.0182,54.0,43.474075,0.0,22.0,5869.0,1133.0,1.0,241.53287,50.0,47,9,<unknown>,<unknown>,42,6,35,5
10,-0.32000002,-2.7,-1.4975327,0.0264,54.0,29.711111,0.0,118.0,4011.0,1135.0,1.0,208.70886,90.0,71,9,<unknown>,<unknown>,35,6,22,5
11,-0.31000003,-2.7,-1.5334898,0.0262,54.0,27.096296,0.0,59.0,3658.0,1135.0,1.0,212.9518,90.0,74,9,<unknown>,<unknown>,27,6,31,5
12,-0.32000002,-2.7,-1.4840661,0.0264,54.0,25.71852,0.0,56.0,3472.0,1135.0,1.0,207.1198,10.0,76,9,<unknown>,<unknown>,22,6,25,5
13,-0.32500002,-2.3500001,-1.4546412,0.0265,47.0,26.044445,0.0,104.0,3516.0,1135.0,1.0,203.64766,10.0,77,9,<unknown>,<unknown>,27,6,19,5
14,1.0,-2.0,-1.7984538,0.0173,40.0,39.446808,0.0,16.0,4635.0,988.0,1.0,244.21754,50.0,49,9,<unknown>,<unknown>,35,5,35,5
15,1.0,-2.0,-1.7632781,0.0157,40.0,41.79,0.0,11.0,4179.0,842.0,1.0,240.06682,10.0,28,9,<unknown>,<unknown>,30,5,24,4
16,-0.36500004,-2.4,-1.2152096,0.0273,48.0,22.091667,0.0,75.0,2651.0,1006.0,1.0,175.39473,70.0,82,9,<unknown>,<unknown>,16,5,14,5
17,-0.36000004,-2.4,-1.2486197,0.0272,48.0,30.808332,0.0,118.0,3697.0,1010.0,1.0,179.33713,50.0,77,9,<unknown>,<unknown>,20,5,26,5
18,-0.36500004,-2.4,-1.2411921,0.0273,48.0,28.575,0.0,116.0,3429.0,1009.0,1.0,178.46066,70.0,70,9,<unknown>,<unknown>,24,5,23,5
19,1.0,-2.4,-1.585857,0.0183,48.0,37.608334,0.0,20.0,4513.0,1009.0,1.0,219.13113,90.0,59,9,<unknown>,<unknown>,30,5,32,5
20,-0.36500004,-2.4,-1.298817,0.0273,48.0,24.691668,0.0,110.0,2963.0,1009.0,1.0,185.2604,10.0,83,9,<unknown>,<unknown>,16,5,21,5
21,-0.40500006,-2.15,-1.3101803,0.0281,43.0,27.553488,0.0,123.0,2962.0,904.0,1.0,186.60127,50.0,75,9,<unknown>,<unknown>,17,5,21,4
22,-0.040000025,-2.15,-1.5773886,0.0208,43.0,32.483723,0.0,26.0,3492.0,905.0,1.0,218.13187,70.0,71,9,<unknown>,<unknown>,30,5,21,4
23,-0.42000005,-2.15,-1.3847345,0.0284,43.0,25.786047,0.0,115.0,2772.0,904.0,1.0,195.39867,50.0,83,9,<unknown>,<unknown>,18,5,18,4
24,1.0,-2.15,-1.7428406,0.017,43.0,33.748837,0.0,15.0,3628.0,905.0,1.0,237.6552,50.0,46,9,<unknown>,<unknown>,24,5,22,4
