timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
1,-17.215,-0.2,-0.20425199,0.3643,4.0,185.2,0.0,37.0,1852.0,86.0,1.0,56.101734,10.0,1,9,<unknown>,<unknown>,6,4,8,3
2,1.0,-0.75,-0.97839665,0.0185,15.0,98.21333,0.0,4.0,3683.0,307.0,1.0,147.4508,30.0,1,9,<unknown>,<unknown>,3,4,33,4
3,-1.23,-2.3500001,-1.0992826,0.0446,47.0,23.4625,0.0,39.0,1877.0,668.0,1.0,161.71535,30.0,79,9,<unknown>,<unknown>,1,4,18,5
4,-0.8300001,-2.3500001,-0.950857,0.0366,47.0,20.2875,0.0,128.0,1623.0,673.0,1.0,144.20113,70.0,82,9,<unknown>,<unknown>,1,4,16,5
5,-0.49,-2.3500001,-1.3366958,0.0298,47.0,21.225533,0.0,61.0,2494.0,988.0,1.0,189.7301,10.0,86,9,<unknown>,<unknown>,11,5,13,5
6,1.0,-2.9,-1.7174469,0.0169,58.0,39.957447,0.0,16.0,4695.0,988.0,1.0,234.65874,50.0,67,9,<unknown>,<unknown>,8,5,30,5
7,1.0,-2.9,-1.8646498,0.0153,58.0,43.786205,0.0,12.0,6349.0,1209.0,1.0,252.02867,70.0,30,9,<unknown>,<unknown>,36,6,36,5
8,1.0,-2.9,-1.7576836,0.0175,58.0,43.724136,0.0,21.0,6340.0,1212.0,1.0,239.40666,50.0,52,9,<unknown>,<unknown>,47,6,39,5
9,1.0,-2.9,-1.7053571,0.0178,58.0,42.6,0.0,22.0,6177.0,1217.0,1.0,233.23213,50.0,48,9,<unknown>,<unknown>,37,6,42,5
10,-0.285,-2.9,-1.4014616,0.0257,58.0,27.993103,0.0,118.0,4059.0,1219.0,1.0,197.37247,90.0,77,9,<unknown>,<unknown>,27,6,28,5
11,-0.285,-2.9,-1.5191193,0.0257,58.0,25.986206,0.0,59.0,3768.0,1220.0,1.0,211.25607,90.0,79,9,<unknown>,<unknown>,33,6,29,5
12,-0.33,-2.5,-1.4628745,0.0266,50.0,31.208,0.0,56.0,3901.0,1051.0,1.0,204.6192,10.0,70,9,<unknown>,<unknown>,28,6,28,5
13,-0.33,-2.5,-1.5375232,0.0266,50.0,27.512,0.0,104.0,3439.0,1051.0,1.0,213.42773,10.0,82,9,<unknown>,<unknown>,22,6,23,5
14,1.0,-2.45,-1.811726,0.0169,49.0,38.9551,0.0,16.0,4772.0,1032.0,1.0,245.78366,50.0,52,9,<unknown>,<unknown>,38,6,33,5
15,1.0,-1.9,-1.8285344,0.0158,38.0,44.221054,0.0,11.0,4201.0,799.0,1.0,247.76706,10.0,28,9,<unknown>,<unknown>,26,5,34,5
16,-0.41000006,-2.3500001,-1.315278,0.0282,47.0,24.374468,0.0,75.0,2864.0,985.0,1.0,187.2028,70.0,84,9,<unknown>,<unknown>,15,5,19,5
17,-0.37000003,-2.3500001,-1.3252176,0.0274,47.0,22.621277,0.0,118.0,2658.0,990.0,1.0,188.37567,50.0,86,9,<unknown>,<unknown>,16,5,19,5
18,-0.37500003,-2.3500001,-1.3062079,0.0275,47.0,22.40851,0.0,116.0,2633.0,988.0,1.0,186.13254,70.0,80,9,<unknown>,<unknown>,22,5,19,5
19,1.0,-2.3500001,-1.5253435,0.0183,47.0,28.14468,0.0,20.0,3307.0,988.0,1.0,211.99054,90.0,73,9,<unknown>,<unknown>,19,5,22,5
20,-0.37000003,-2.3500001,-1.3311311,0.0274,47.0,20.595745,0.0,110.0,2420.0,988.0,1.0,189.07347,10.0,88,9,<unknown>,<unknown>,13,5,17,5
21,-0.42000005,-2.0,-1.2898989,0.0284,40.0,21.217022,0.0,123.0,2493.0,988.0,1.0,184.20807,50.0,81,9,<unknown>,<unknown>,21,5,17,5
22,-0.06499998,-2.0,-1.5463045,0.0213,40.0,31.8,0.0,26.0,3180.0,841.0,1.0,214.46393,70.0,77,9,<unknown>,<unknown>,18,5,13,4
23,-0.45,-2.0,-1.4039265,0.029,40.0,27.04,0.0,115.0,2704.0,842.0,1.0,197.66333,50.0,87,9,<unknown>,<unknown>,17,5,15,4
24,1.0,-2.3500001,-1.6863452,0.0171,47.0,38.44,0.0,15.0,3844.0,841.0,1.0,230.98874,50.0,53,9,<unknown>,<unknown>,28,5,19,4
25,-0.37500003,-2.3500001,-1.4509215,0.0275,47.0,22.323404,0.0,60.0,2623.0,988.0,1.0,203.20874,70.0,85,10,<unknown>,<unknown>,16,5,17,5
