timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s2_cpu,masterk8s2_mem,worker2_cpu,worker2_mem,worker21_cpu,worker21_mem,worker22_cpu,worker22_mem
1,-17.029999,-0.2,-0.17467855,0.3606,4.0,199.6,0.0,37.0,499.0,22.0,1.0,52.61207,10.0,1,9,<unknown>,<unknown>,6,3,0,3
2,1.0,-0.95,-0.957466,0.0187,19.0,134.2,0.0,4.0,2684.0,170.0,1.0,144.98099,30.0,1,9,<unknown>,<unknown>,16,4,15,3
3,-0.6550001,-2.9,-0.9661195,0.0331,58.0,14.531034,0.0,39.0,2107.0,1192.0,1.0,146.0021,30.0,85,9,<unknown>,<unknown>,14,6,15,5
4,-0.30000004,-2.9,-1.337178,0.026,58.0,11.986207,0.0,128.0,1738.0,1218.0,1.0,189.787,70.0,87,9,<unknown>,<unknown>,12,6,11,5
5,-0.31000003,-2.9,-1.3384401,0.0262,58.0,12.206897,0.0,61.0,1770.0,1219.0,1.0,189.93593,10.0,89,9,<unknown>,<unknown>,11,6,12,5
6,1.0,-2.9,-1.706957,0.0166,58.0,18.48276,0.0,16.0,2680.0,1219.0,1.0,233.42093,50.0,73,9,<unknown>,<unknown>,16,6,16,5
7,1.0,-2.9,-1.8647311,0.0157,58.0,28.544828,0.0,12.0,4139.0,1219.0,1.0,252.03827,70.0,38,9,<unknown>,<unknown>,26,6,22,5
8,1.0,-2.9,-1.7389871,0.0179,58.0,33.82069,0.0,21.0,4904.0,1219.0,1.0,237.20047,50.0,59,9,<unknown>,<unknown>,30,6,26,5
9,1.0,-2.9,-1.8084543,0.0182,58.0,40.448277,0.0,22.0,5865.0,1219.0,1.0,245.3976,50.0,54,9,<unknown>,<unknown>,35,6,30,5
10,-0.31000003,-2.9,-1.4495519,0.0262,58.0,31.806896,0.0,118.0,4612.0,1219.0,1.0,203.04713,90.0,71,9,<unknown>,<unknown>,29,6,25,5
11,-0.31500003,-2.9,-1.4826492,0.0263,58.0,32.255173,0.0,59.0,4677.0,1219.0,1.0,206.9526,90.0,71,9,<unknown>,<unknown>,30,6,28,5
12,-0.31000003,-2.9,-1.4044656,0.0262,58.0,31.062069,0.0,56.0,4504.0,1219.0,1.0,197.72693,10.0,69,9,<unknown>,<unknown>,29,6,29,5
13,-0.32000002,-2.3500001,-1.380417,0.0264,47.0,30.88276,0.0,104.0,4478.0,1219.0,1.0,194.8892,10.0,71,9,<unknown>,<unknown>,31,6,29,5
14,1.0,-2.3500001,-1.7020689,0.0172,47.0,51.85532,0.0,16.0,6093.0,988.0,1.0,232.84413,50.0,37,9,<unknown>,<unknown>,40,5,41,4
15,1.0,-2.3500001,-1.736696,0.0155,47.0,45.531914,0.0,11.0,5350.0,988.0,1.0,236.93013,10.0,19,9,<unknown>,<unknown>,39,5,35,4
16,-0.3450001,-2.6000001,-1.2282504,0.0269,52.0,25.607693,0.0,75.0,3329.0,1091.0,1.0,176.93355,70.0,76,9,<unknown>,<unknown>,24,5,17,5
17,-0.34,-2.6000001,-1.2739378,0.0268,52.0,23.646154,0.0,118.0,3074.0,1093.0,1.0,182.32466,50.0,81,9,<unknown>,<unknown>,24,5,18,5
18,-0.3450001,-2.6000001,-1.2792859,0.0269,52.0,24.153847,0.0,116.0,3140.0,1093.0,1.0,182.95573,70.0,80,9,<unknown>,<unknown>,22,5,24,5
19,1.0,-2.6000001,-1.5508763,0.018,52.0,28.623077,0.0,20.0,3721.0,1093.0,1.0,215.0034,90.0,64,9,<unknown>,<unknown>,28,5,21,5
20,-0.34,-2.6000001,-1.2424197,0.0268,52.0,20.392307,0.0,110.0,2651.0,1093.0,1.0,178.60553,10.0,84,9,<unknown>,<unknown>,18,5,14,5
21,-0.39,-2.2,-1.324647,0.0278,44.0,23.872726,0.0,123.0,2626.0,925.0,1.0,188.30833,50.0,82,9,<unknown>,<unknown>,20,5,21,5
22,-0.040000025,-2.2,-1.4969757,0.0208,44.0,29.036364,0.0,26.0,3194.0,925.0,1.0,208.64313,70.0,72,9,<unknown>,<unknown>,21,5,19,4
23,-0.40000007,-2.2,-1.3284819,0.028,44.0,23.554546,0.0,115.0,2591.0,925.0,1.0,188.76086,50.0,84,9,<unknown>,<unknown>,18,5,13,4
24,1.0,-2.2,-1.6663927,0.0171,44.0,33.20909,0.0,15.0,3653.0,925.0,1.0,228.63434,50.0,56,9,<unknown>,<unknown>,25,5,27,4
25,-0.42500004,-2.2,-1.3391101,0.0285,44.0,23.136364,0.0,60.0,2545.0,925.0,1.0,190.015,70.0,83,9,<unknown>,<unknown>,13,5,16,4
26,1.0,-2.45,-1.712557,0.0165,49.0,34.636364,0.0,13.0,3810.0,925.0,1.0,234.08173,90.0,52,9,<unknown>,<unknown>,28,5,17,4
27,1.0,-2.45,-1.8293023,0.0137,49.0,35.159184,0.0,5.0,4307.0,1025.0,1.0,247.85767,90.0,3,9,<unknown>,<unknown>,28,5,28,5
28,1.0,-2.45,-1.8333836,0.0136,49.0,35.534695,0.0,5.0,4353.0,1025.0,1.0,248.33926,90.0,2,9,<unknown>,<unknown>,27,5,28,5
29,1.0,-2.45,-1.7076085,0.0131,49.0,29.57551,0.0,4.0,3623.0,1026.0,1.0,233.4978,90.0,2,9,<unknown>,<unknown>,23,5,24,5
30,1.0,-2.45,-1.5175339,0.0126,49.0,23.2,0.0,3.0,2842.0,1027.0,1.0,211.069,70.0,1,9,<unknown>,<unknown>,18,5,18,5
31,1.0,-2.8500001,-1.3445661,0.018,57.0,23.444899,0.0,19.0,2872.0,1028.0,1.0,190.6588,30.0,75,9,<unknown>,<unknown>,12,5,18,5
32,1.0,-2.8500001,-1.2369401,0.0122,57.0,13.515789,0.0,2.0,1926.0,1189.0,1.0,177.95894,10.0,0,9,<unknown>,<unknown>,12,6,12,5
33,1.0,-2.8500001,-1.8367441,0.0135,57.0,30.336842,0.0,5.0,4323.0,1190.0,1.0,248.7358,70.0,3,9,<unknown>,<unknown>,27,6,28,5
34,1.0,-2.8500001,-1.5307752,0.0125,57.0,20.175438,0.0,3.0,2875.0,1189.0,1.0,212.63147,70.0,1,9,<unknown>,<unknown>,18,6,19,5
35,1.0,-2.8500001,-1.7087649,0.0131,57.0,25.22807,0.0,4.0,3595.0,1190.0,1.0,233.63426,90.0,2,9,<unknown>,<unknown>,22,6,23,5
36,1.0,-2.8500001,-1.8455973,0.0151,57.0,23.54386,0.0,10.0,3355.0,1192.0,1.0,249.78047,90.0,35,9,<unknown>,<unknown>,21,6,22,5
