timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
1,-3.9350002,-0.4,-0.6160401,0.0987,8.0,188.0,0.0,37.0,1410.0,68.0,1.0,104.69273,10.0,6,15,1,10,1,10,13,9,15,12
2,1.0,-0.85,-0.8190733,0.0049,17.0,27.811764,0.0,4.0,1182.0,361.0,1.0,128.65065,30.0,20,15,7,10,7,10,8,9,11,12
3,1.0,-0.85,-0.77571976,0.0182,17.0,23.647058,0.0,39.0,1005.0,361.0,1.0,123.534935,30.0,81,16,11,10,10,10,9,9,14,12
4,-0.095,-1.0,-0.91202897,0.0219,20.0,32.58,0.0,128.0,1629.0,433.0,1.0,139.61942,70.0,81,15,9,10,10,10,10,10,11,12
5,-0.03500001,-1.0,-0.9355859,0.0207,20.0,31.44,0.0,61.0,1572.0,438.0,1.0,142.39914,10.0,89,15,8,10,9,10,9,10,10,12
6,1.0,-1.0,-0.9159869,0.0079,20.0,30.22,0.0,16.0,1511.0,438.0,1.0,140.08646,50.0,83,15,12,10,10,10,10,10,11,12
7,1.0,-1.0,-0.919165,0.0065,20.0,26.88,0.0,12.0,1344.0,438.0,1.0,140.46147,70.0,60,15,7,10,9,10,8,10,11,12
8,1.0,-1.0,-0.9770848,0.0096,20.0,26.48,0.0,21.0,1324.0,438.0,1.0,147.296,50.0,82,15,8,10,10,10,8,10,10,12
9,1.0,-1.0,-1.0023288,0.0103,20.0,27.62,0.0,22.0,1381.0,438.0,1.0,150.2748,50.0,86,15,11,11,10,10,10,10,11,12
10,-0.03500001,-1.0,-1.0123672,0.0207,20.0,28.6,0.0,118.0,1430.0,438.0,1.0,151.45934,90.0,87,16,8,10,10,10,8,10,8,12
11,-0.020000037,-1.0,-1.0121588,0.0204,20.0,22.36,0.0,59.0,1118.0,441.0,1.0,151.43474,90.0,85,16,7,10,8,10,6,10,8,12
12,-0.004999969,-1.0,-1.0040762,0.0201,20.0,21.98,0.0,56.0,1099.0,441.0,1.0,150.481,10.0,90,16,10,10,8,10,9,10,9,12
13,1.0,-1.0,-0.9910673,0.0199,20.0,21.68,0.0,104.0,1084.0,441.0,1.0,148.94594,10.0,91,16,6,10,7,10,7,10,6,12
14,1.0,-1.0,-0.9315836,0.0073,20.0,17.04,0.0,16.0,852.0,441.0,1.0,141.92686,50.0,83,16,6,10,6,10,5,10,6,12
15,1.0,-1.0,-0.95107734,0.0061,20.0,18.9,0.0,11.0,945.0,441.0,1.0,144.22713,10.0,61,15,8,10,7,10,6,10,8,12
16,1.0,-0.9,-1.0192956,0.02,18.0,19.44,0.0,75.0,972.0,441.0,1.0,152.27687,70.0,92,15,5,10,4,10,6,10,4,12
17,-0.14500001,-0.9,-1.0241531,0.0229,18.0,26.733334,0.0,118.0,1203.0,397.0,1.0,152.85007,50.0,90,15,6,11,5,10,5,10,4,12
18,-0.14500001,-0.9,-1.0389621,0.0229,18.0,27.6,0.0,116.0,1242.0,397.0,1.0,154.59753,70.0,88,15,8,11,6,10,6,10,4,12
19,1.0,-0.9,-1.0399209,0.0102,18.0,27.533333,0.0,20.0,1239.0,397.0,1.0,154.71066,90.0,91,15,5,10,4,10,6,10,4,12
20,-0.15,-0.9,-1.068392,0.023,18.0,33.711113,0.0,110.0,1517.0,397.0,1.0,158.07027,10.0,94,15,9,10,6,10,4,10,3,12
21,-0.13500002,-0.9,-1.044778,0.0227,18.0,30.666666,0.0,123.0,1380.0,397.0,1.0,155.2838,50.0,88,16,9,10,8,10,7,10,6,12
22,1.0,-0.9,-1.0606927,0.0126,18.0,31.4,0.0,26.0,1413.0,397.0,1.0,157.16173,70.0,85,15,10,10,6,10,8,10,6,12
23,-0.16499998,-0.9,-1.1120464,0.0233,18.0,43.866665,0.0,115.0,1974.0,397.0,1.0,163.22147,50.0,86,16,12,10,10,10,7,10,6,12
24,1.0,-0.9,-1.1112157,0.0082,18.0,42.666668,0.0,15.0,1920.0,397.0,1.0,163.12346,50.0,76,16,11,11,13,10,12,10,9,12
25,-0.16499998,-0.9,-1.1370581,0.0233,18.0,45.6,0.0,60.0,2052.0,397.0,1.0,166.17287,70.0,84,16,13,11,13,10,15,10,9,12
26,1.0,-0.9,-1.1727514,0.0075,18.0,48.155556,0.0,13.0,2167.0,397.0,1.0,170.38467,90.0,63,16,14,10,15,10,13,10,9,12
27,1.0,-0.9,-1.2509029,0.0052,18.0,48.11111,0.0,5.0,2165.0,397.0,1.0,179.60654,90.0,21,16,14,10,16,10,17,10,10,12
28,1.0,-0.9,-1.2627684,0.0052,18.0,46.933334,0.0,5.0,2112.0,397.0,1.0,181.00667,90.0,21,16,14,10,13,10,14,10,9,12
29,1.0,-0.9,-1.2513875,0.0048,18.0,39.422222,0.0,4.0,1774.0,398.0,1.0,179.66373,90.0,17,16,13,10,13,10,11,10,8,12
30,1.0,-0.9,-1.2384164,0.0049,18.0,36.733334,0.0,3.0,1653.0,397.0,1.0,178.13313,70.0,12,16,12,10,11,10,12,10,8,12
31,1.0,-0.9,-1.084606,0.01,18.0,35.177776,0.0,19.0,1583.0,397.0,1.0,159.98352,30.0,80,16,10,10,11,10,14,10,8,12
32,1.0,-0.9,-1.0932401,0.0044,18.0,29.8,0.0,2.0,1341.0,397.0,1.0,161.00233,10.0,8,16,10,11,9,10,10,10,6,12
33,1.0,-0.9,-1.0009147,0.0051,18.0,30.222221,0.0,5.0,1360.0,397.0,1.0,150.10794,70.0,25,16,9,11,10,10,10,10,7,12
34,1.0,-0.9,-1.1891475,0.0048,18.0,31.222221,0.0,3.0,1405.0,397.0,1.0,172.3194,70.0,13,16,9,10,7,10,8,10,5,12
35,1.0,-0.9,-1.188556,0.005,18.0,32.288887,0.0,4.0,1453.0,397.0,1.0,172.2496,90.0,19,16,9,10,9,10,8,10,6,12
36,1.0,-0.8,-1.0518543,0.0067,16.0,36.55,0.0,10.0,1462.0,353.0,1.0,156.1188,90.0,50,16,7,10,11,10,9,10,7,12
37,1.0,-0.8,-1.1211634,0.0057,16.0,33.175,0.0,7.0,1327.0,353.0,1.0,164.29727,50.0,37,16,8,10,10,10,8,10,6,12
38,1.0,-0.8,-1.2629074,0.0044,16.0,37.6,0.0,2.0,1504.0,353.0,1.0,181.02307,10.0,8,16,9,10,11,10,8,10,7,12
39,1.0,-0.8,-1.0490367,0.0113,16.0,39.775,0.0,20.0,1591.0,354.0,1.0,155.78633,30.0,78,16,7,10,12,10,9,10,8,12
40,-0.24000004,-0.8,-1.0500932,0.0248,16.0,40.6,0.0,64.0,1624.0,353.0,1.0,155.911,90.0,84,16,8,10,10,10,9,10,7,12
41,1.0,-0.8,-1.0212487,0.0098,16.0,40.575,0.0,18.0,1623.0,353.0,1.0,152.50734,70.0,85,16,10,10,11,10,9,9,7,12
