timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
1,-4.335,-0.4,-0.38850525,0.1067,8.0,196.2,0.0,37.0,981.0,45.0,1.0,77.84362,10.0,5,16,14,10,5,10,1,9,3,12
2,1.0,-0.8,-0.76542634,0.0046,16.0,24.275,0.0,4.0,971.0,340.0,1.0,122.320305,30.0,20,16,6,11,7,10,5,10,5,12
3,1.0,-0.95,-0.80375284,0.018,19.0,20.968422,0.0,39.0,996.0,405.0,1.0,126.842834,30.0,91,16,7,11,8,10,6,10,7,13
4,-0.07500003,-0.95,-0.8636215,0.0215,19.0,19.68421,0.0,128.0,935.0,410.0,1.0,133.90733,70.0,92,16,7,11,6,10,7,10,7,12
5,-0.044999994,-0.95,-0.86376786,0.0209,19.0,17.747368,0.0,61.0,843.0,417.0,1.0,133.9246,10.0,91,16,6,11,5,11,6,10,5,13
6,1.0,-0.95,-0.9242735,0.008,19.0,26.357895,0.0,16.0,1252.0,417.0,1.0,141.06427,50.0,84,16,11,11,7,10,8,10,8,13
7,1.0,-0.95,-0.96986103,0.0068,19.0,23.789474,0.0,12.0,1130.0,417.0,1.0,146.4436,70.0,64,16,7,11,7,10,8,10,7,13
8,1.0,-0.95,-0.9895926,0.0101,19.0,24.694736,0.0,21.0,1173.0,417.0,1.0,148.77193,50.0,84,16,7,11,9,10,6,10,8,13
9,1.0,-0.95,-1.016369,0.0107,19.0,25.136843,0.0,22.0,1194.0,417.0,1.0,151.93153,50.0,86,16,8,11,6,10,7,10,8,13
10,-0.095,-0.95,-1.0530119,0.0219,19.0,22.105263,0.0,118.0,1050.0,417.0,1.0,156.2554,90.0,89,16,7,11,6,10,7,10,7,12
11,-0.044999994,-0.95,-1.0099837,0.0209,19.0,21.242105,0.0,59.0,1009.0,418.0,1.0,151.17807,90.0,90,16,7,11,9,11,6,10,7,12
12,-0.07500003,-0.95,-1.0404547,0.0215,19.0,23.536842,0.0,56.0,1118.0,418.0,1.0,154.77367,10.0,89,16,7,11,6,11,7,10,7,12
13,1.0,-0.95,-0.9970774,0.0198,19.0,19.031578,0.0,104.0,904.0,418.0,1.0,149.65514,10.0,92,16,6,11,5,11,6,10,6,12
14,1.0,-0.95,-0.9760763,0.0075,19.0,18.56842,0.0,16.0,882.0,418.0,1.0,147.177,50.0,88,16,6,11,7,11,5,10,6,12
15,1.0,-0.95,-1.0576068,0.0063,19.0,23.578947,0.0,11.0,1120.0,418.0,1.0,156.7976,10.0,62,16,6,11,5,10,5,10,6,12
16,-0.08000003,-0.85,-1.0512848,0.0216,17.0,26.989473,0.0,75.0,1282.0,419.0,1.0,156.0516,70.0,93,16,8,11,5,10,7,10,7,12
17,-0.15999998,-0.85,-1.1196219,0.0232,17.0,27.15294,0.0,118.0,1154.0,375.0,1.0,164.11539,50.0,90,16,9,11,6,10,7,10,7,12
18,-0.17499995,-1.0,-1.1572108,0.0235,20.0,32.941177,0.0,116.0,1400.0,375.0,1.0,168.55087,70.0,90,16,9,11,6,10,9,10,6,12
19,1.0,-1.0,-1.1740328,0.0096,20.0,31.42,0.0,20.0,1571.0,438.0,1.0,170.53587,90.0,92,16,9,11,4,11,8,10,7,13
20,-0.044999994,-1.0,-1.1661118,0.0209,20.0,36.2,0.0,110.0,1810.0,439.0,1.0,169.6012,10.0,89,16,10,11,7,11,8,10,12,13
21,-0.054999977,-1.0,-1.1588836,0.0211,20.0,40.36,0.0,123.0,2018.0,439.0,1.0,168.74826,50.0,86,16,10,11,5,11,10,10,12,13
22,1.0,-1.0,-1.1911299,0.0119,20.0,39.8,0.0,26.0,1990.0,440.0,1.0,172.55333,70.0,86,16,10,11,6,10,9,10,12,13
23,-0.085000016,-0.9,-1.1931503,0.0217,18.0,43.34,0.0,115.0,2167.0,440.0,1.0,172.79173,50.0,86,16,12,11,11,11,10,10,17,13
24,1.0,-0.9,-1.1467611,0.008,18.0,43.31111,0.0,15.0,1949.0,396.0,1.0,167.31781,50.0,68,16,13,11,8,10,12,10,12,12
25,-0.15,-0.9,-1.2030712,0.023,18.0,49.11111,0.0,60.0,2210.0,396.0,1.0,173.9624,70.0,81,16,13,11,9,10,13,10,12,12
26,1.0,-0.9,-1.2136565,0.0075,18.0,48.733334,0.0,13.0,2193.0,396.0,1.0,175.21147,90.0,62,16,14,11,11,10,13,10,16,12
27,1.0,-0.9,-1.2977067,0.0051,18.0,47.266666,0.0,5.0,2127.0,396.0,1.0,185.1294,90.0,20,16,14,11,10,10,14,10,12,12
28,1.0,-0.9,-1.2404497,0.0049,18.0,44.31111,0.0,5.0,1994.0,396.0,1.0,178.37306,90.0,23,16,13,11,10,11,13,10,13,12
29,1.0,-0.9,-1.2640599,0.0049,18.0,43.555557,0.0,4.0,1960.0,397.0,1.0,181.15907,90.0,16,16,14,11,9,11,13,10,13,12
30,1.0,-0.9,-1.184582,0.0048,18.0,36.133335,0.0,3.0,1626.0,398.0,1.0,171.78067,70.0,12,16,11,11,9,10,12,10,10,13
31,1.0,-0.9,-0.9768819,0.01,18.0,35.044445,0.0,19.0,1577.0,397.0,1.0,147.27206,30.0,76,16,11,11,8,10,12,10,8,13
32,1.0,-0.9,-1.0721215,0.0045,18.0,28.266666,0.0,2.0,1272.0,397.0,1.0,158.51033,10.0,8,16,9,11,7,10,9,10,9,13
33,1.0,-0.9,-1.0206915,0.0052,18.0,29.911112,0.0,5.0,1346.0,396.0,1.0,152.4416,70.0,26,16,9,11,7,10,9,10,7,13
34,1.0,-0.9,-1.2544068,0.0049,18.0,32.22222,0.0,3.0,1450.0,397.0,1.0,180.02,70.0,14,16,8,11,7,10,9,10,7,13
35,1.0,-0.9,-1.2287272,0.005,18.0,35.88889,0.0,4.0,1615.0,398.0,1.0,176.9898,90.0,21,16,10,11,8,10,9,10,8,12
36,1.0,-0.9,-1.1465847,0.0066,18.0,42.333332,0.0,10.0,1905.0,397.0,1.0,167.297,90.0,55,16,11,11,9,11,11,10,10,12
