timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
1,-11.540001,-0.4,-0.3489863,0.2508,8.0,196.1,0.0,37.0,1961.0,85.0,1.0,73.18038,10.0
2,1.0,-1.25,-0.625121,0.0142,25.0,66.14737,0.0,4.0,3142.0,401.0,1.0,105.764275,30.0
3,-0.42999998,-3.05,-0.26315647,0.0286,61.0,17.804081,0.0,39.0,2181.0,1032.0,1.0,63.052464,30.0
4,-0.315,-3.05,-0.20044996,0.0263,61.0,11.5737705,0.0,128.0,1765.0,1284.0,1.0,55.653095,70.0
5,-0.32,-3.05,-0.22358872,0.0264,61.0,13.488524,0.0,61.0,2057.0,1284.0,1.0,58.38347,10.0
6,1.0,-3.05,-0.5821158,0.016,61.0,16.432787,0.0,16.0,2506.0,1284.0,1.0,100.68967,50.0
7,1.0,-3.05,-0.64578414,0.0153,61.0,21.134426,0.0,12.0,3223.0,1284.0,1.0,108.20253,70.0
8,1.0,-3.05,-0.49572483,0.0172,61.0,19.285246,0.0,21.0,2941.0,1284.0,1.0,90.49553,50.0
9,1.0,-3.05,-0.48528504,0.0175,61.0,14.255737,0.0,22.0,2174.0,1284.0,1.0,89.26363,50.0
10,-0.31,-3.05,-0.2326034,0.0262,61.0,16.570492,0.0,118.0,2527.0,1284.0,1.0,59.4472,90.0
11,-0.315,-3.05,-0.22395548,0.0263,61.0,17.744263,0.0,59.0,2706.0,1284.0,1.0,58.426746,90.0
12,-0.31,-2.55,-0.24930122,0.0262,51.0,18.498362,0.0,56.0,2821.0,1284.0,1.0,61.417545,10.0
13,-0.35000002,-2.55,-0.2498254,0.027,51.0,28.360785,0.0,104.0,3616.0,1074.0,1.0,61.479397,10.0
14,1.0,-2.55,-0.5438954,0.0165,51.0,46.156864,0.0,16.0,5885.0,1075.0,1.0,96.17966,50.0
15,1.0,-2.55,-0.58615386,0.0154,51.0,51.74902,0.0,11.0,6598.0,1076.0,1.0,101.16615,10.0
16,-0.34500003,-2.55,-0.17423572,0.0269,51.0,34.203922,0.0,75.0,4361.0,1074.0,1.0,52.559814,70.0
17,-0.35000002,-2.55,-0.16990189,0.027,51.0,29.984314,0.0,118.0,3823.0,1081.0,1.0,52.048424,50.0
18,-0.35500002,-2.55,-0.15346394,0.0271,51.0,27.247059,0.0,116.0,3474.0,1076.0,1.0,50.108746,70.0
19,1.0,-2.55,-0.3585366,0.0176,51.0,43.968628,0.0,20.0,5606.0,1077.0,1.0,74.30732,90.0
20,-0.35000002,-2.55,-0.15003666,0.027,51.0,23.019608,0.0,110.0,2935.0,1083.0,1.0,49.704327,10.0
21,-0.38999996,-2.2,-0.14667217,0.0278,44.0,27.545454,0.0,123.0,3030.0,929.0,1.0,49.307316,50.0
22,1.0,-2.2,-0.28340247,0.02,44.0,37.636364,0.0,26.0,4140.0,931.0,1.0,65.44149,70.0
23,-0.40000004,-2.2,-0.14254448,0.028,44.0,22.172728,0.0,115.0,2439.0,939.0,1.0,48.820248,50.0
24,1.0,-2.2,-0.39484963,0.0167,44.0,38.954544,0.0,15.0,4285.0,931.0,1.0,78.592255,50.0
25,-0.39499995,-2.2,-0.1695,0.0279,44.0,25.09091,0.0,60.0,2760.0,937.0,1.0,52.001,70.0
26,1.0,-2.7,-0.49484164,0.0159,54.0,24.61132,0.0,13.0,3261.0,1126.0,1.0,90.39131,90.0
27,1.0,-2.7,-0.838105,0.0131,54.0,33.066666,0.0,5.0,4464.0,1150.0,1.0,130.8964,90.0
28,1.0,-2.7,-0.8316053,0.0131,54.0,32.785187,0.0,5.0,4426.0,1149.0,1.0,130.12943,90.0
29,1.0,-2.7,-0.7788571,0.0127,54.0,27.237038,0.0,4.0,3677.0,1147.0,1.0,123.905136,90.0
30,1.0,-2.7,-0.700235,0.0123,54.0,21.177778,0.0,3.0,2859.0,1147.0,1.0,114.62773,70.0
31,1.0,-3.2,-0.31254682,0.0168,64.0,15.864516,0.0,19.0,2459.0,1315.0,1.0,68.88052,30.0
32,1.0,-3.2,-0.57088023,0.0118,64.0,12.4875,0.0,2.0,1998.0,1357.0,1.0,99.36387,30.0
33,1.0,-3.2,-0.81803817,0.013,64.0,27.41875,0.0,5.0,4387.0,1357.0,1.0,128.5285,70.0
34,1.0,-3.2,-0.70704335,0.0122,64.0,18.19375,0.0,3.0,2911.0,1358.0,1.0,115.431114,70.0
35,1.0,-3.2,-0.733748,0.0127,64.0,21.59375,0.0,4.0,3455.0,1358.0,1.0,118.58227,90.0
36,1.0,-2.7,-0.58338624,0.0148,54.0,25.577778,0.0,10.0,3453.0,1147.0,1.0,100.83958,90.0
37,1.0,-2.7,-0.86774486,0.0138,54.0,40.807407,0.0,7.0,5509.0,1151.0,1.0,134.39389,50.0
38,1.0,-2.7,-0.56395465,0.0119,54.0,14.666667,0.0,2.0,1980.0,1147.0,1.0,98.546646,10.0
39,1.0,-4.25,-0.42200568,0.017,85.0,10.168116,0.0,20.0,1754.0,1459.0,1.0,81.79667,30.0
40,-0.25000003,-4.25,-0.20685545,0.025,85.0,5.392941,0.0,64.0,1146.0,1798.0,1.0,56.408943,90.0
41,1.0,-4.25,-0.5865774,0.0158,85.0,8.367059,0.0,18.0,1778.0,1799.0,1.0,101.21613,70.0
42,-0.24500002,-4.25,-0.24743888,0.0249,85.0,4.7294116,0.0,99.0,1005.0,1807.0,1.0,61.19779,30.0
43,-0.25000003,-4.25,-0.2530288,0.025,85.0,4.804706,0.0,127.0,1021.0,1800.0,1.0,61.8574,10.0
44,-0.255,-3.1,-0.25184068,0.0251,62.0,5.722353,0.0,139.0,1216.0,1801.0,1.0,61.7172,50.0
45,-0.325,-3.1,-0.29011446,0.0265,62.0,5.819355,0.0,130.0,902.0,1318.0,1.0,66.233505,70.0
46,-0.325,-2.4,-0.2938882,0.0265,48.0,8.03871,0.0,133.0,1246.0,1320.0,1.0,66.67881,30.0
47,-0.37,-2.25,-0.31485134,0.0274,45.0,10.225,0.0,123.0,1227.0,1028.0,1.0,69.15246,10.0
48,-0.38499996,-2.0,-0.3007336,0.0277,40.0,16.924444,0.0,127.0,1904.0,967.0,1.0,67.486565,70.0
49,-0.41500002,-2.0,-0.32307628,0.0283,40.0,29.04,0.0,132.0,2904.0,861.0,1.0,70.123,90.0
50,-0.42999998,-2.0,-0.32080713,0.0286,40.0,30.47,0.0,130.0,3047.0,865.0,1.0,69.85524,90.0
51,-0.425,-2.0,-0.30339038,0.0285,40.0,34.28,0.0,146.0,3428.0,865.0,1.0,67.800064,90.0
52,-0.41500002,-2.0,-0.3023215,0.0283,40.0,40.98,0.0,141.0,4098.0,867.0,1.0,67.673935,30.0
53,-0.41500002,-2.0,-0.2894496,0.0283,40.0,39.9,0.0,131.0,3990.0,873.0,1.0,66.15505,90.0
54,-0.43499997,-2.0,-0.26570407,0.0287,40.0,39.27,0.0,131.0,3927.0,870.0,1.0,63.35308,30.0
55,-0.42000002,-1.8,-0.2612375,0.0284,36.0,44.2,0.0,132.0,4420.0,871.0,1.0,62.826027,70.0
56,-0.47000003,-1.8,-0.2500397,0.0294,36.0,41.466667,0.0,147.0,3732.0,788.0,1.0,61.504684,90.0
57,-0.48,-1.8,-0.22925916,0.0296,36.0,45.655556,0.0,166.0,4109.0,787.0,1.0,59.05258,70.0
58,-0.47000003,-1.8,-0.2904102,0.0294,36.0,48.711113,0.0,141.0,4384.0,787.0,1.0,66.2684,50.0
59,-0.475,-1.8,-0.28326333,0.0295,36.0,39.433334,0.0,159.0,3549.0,789.0,1.0,65.42507,70.0
60,-0.475,-1.8,-0.26607007,0.0295,36.0,46.988888,0.0,160.0,4229.0,788.0,1.0,63.396267,10.0
61,-0.48499998,-1.8,-0.24269773,0.0297,36.0,48.666668,0.0,164.0,4380.0,790.0,1.0,60.638332,30.0
62,-0.475,-1.8,-0.22872145,0.0295,36.0,36.02222,0.0,138.0,3242.0,792.0,1.0,58.989132,50.0
63,-0.475,-1.8,-0.22663702,0.0295,36.0,47.877777,0.0,150.0,4309.0,790.0,1.0,58.743168,10.0
64,-0.475,-1.8,-0.20581663,0.0295,36.0,46.177776,0.0,138.0,4156.0,791.0,1.0,56.28636,10.0
65,-0.48499998,-1.8,-0.21078397,0.0297,36.0,38.066666,0.0,145.0,3426.0,790.0,1.0,56.87251,90.0
66,-0.475,-1.8,-0.2088583,0.0295,36.0,48.744446,0.0,131.0,4387.0,791.0,1.0,56.64528,30.0
