timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
1,-6.98,-0.8,-0.41859034,0.1596,16.0,178.9,0.0,37.0,3578.0,173.0,1.0,81.39366,10.0
2,1.0,-1.3,-0.6781425,0.0137,26.0,55.815384,0.0,4.0,3628.0,549.0,1.0,112.02081,30.0
3,-0.375,-2.8,-0.22224753,0.0275,56.0,15.728572,0.0,39.0,2202.0,1181.0,1.0,58.22521,30.0
4,-0.33999994,-2.8,-0.06721856,0.0268,56.0,14.178572,0.0,128.0,1985.0,1182.0,1.0,39.93179,70.0
5,-0.33499998,-2.8,-0.13448304,0.0267,56.0,11.242857,0.0,61.0,1574.0,1182.0,1.0,47.869,10.0
6,1.0,-2.8,-0.4778458,0.0161,56.0,22.47857,0.0,16.0,3147.0,1182.0,1.0,88.3858,50.0
7,1.0,-2.8,-0.6086983,0.0154,56.0,18.421429,0.0,12.0,2579.0,1184.0,1.0,103.8264,70.0
8,1.0,-2.8,-0.49154636,0.0174,56.0,22.157143,0.0,21.0,3102.0,1182.0,1.0,90.00247,50.0
9,1.0,-2.8,-0.48336443,0.0178,56.0,29.207144,0.0,22.0,4089.0,1183.0,1.0,89.037,50.0
10,-0.33499998,-2.8,-0.24019833,0.0267,56.0,21.671429,0.0,118.0,3034.0,1187.0,1.0,60.343403,90.0
11,-0.325,-2.8,-0.24571405,0.0265,56.0,29.028572,0.0,59.0,4064.0,1184.0,1.0,60.99426,90.0
12,-0.32,-2.8,-0.24354123,0.0264,56.0,29.828571,0.0,56.0,4176.0,1187.0,1.0,60.737865,10.0
13,-0.32,-2.8,-0.24435762,0.0264,56.0,24.407143,0.0,104.0,3417.0,1187.0,1.0,60.834198,10.0
14,1.0,-2.35,-0.5506398,0.0169,47.0,47.12143,0.0,16.0,6597.0,1188.0,1.0,96.975494,50.0
15,1.0,-2.35,-0.5792836,0.0155,47.0,49.072342,0.0,11.0,5766.0,994.0,1.0,100.35546,10.0
16,-0.37,-2.35,-0.15217674,0.0274,47.0,23.617022,0.0,75.0,2775.0,994.0,1.0,49.956856,70.0
17,-0.375,-2.35,-0.1650209,0.0275,47.0,30.578724,0.0,118.0,3593.0,994.0,1.0,51.472466,50.0
18,-0.37,-2.35,-0.15971126,0.0274,47.0,27.378723,0.0,116.0,3217.0,999.0,1.0,50.84593,70.0
19,1.0,-2.35,-0.3593384,0.0177,47.0,34.331913,0.0,20.0,4034.0,996.0,1.0,74.40193,90.0
20,-0.365,-2.35,-0.11780422,0.0273,47.0,22.868086,0.0,110.0,2687.0,997.0,1.0,45.900898,10.0
21,-0.375,-2.35,-0.1433155,0.0275,47.0,21.829786,0.0,123.0,2565.0,1006.0,1.0,48.91123,50.0
22,1.0,-2.35,-0.302584,0.0195,47.0,45.148937,0.0,26.0,5305.0,1006.0,1.0,67.70491,70.0
23,-0.37,-2.35,-0.16185462,0.0274,47.0,26.289362,0.0,115.0,3089.0,1011.0,1.0,51.098846,50.0
24,1.0,-2.35,-0.42531133,0.0165,47.0,41.84681,0.0,15.0,4917.0,1004.0,1.0,82.18674,50.0
25,-0.37,-2.35,-0.18747756,0.0274,47.0,25.48085,0.0,60.0,2994.0,1005.0,1.0,54.122353,70.0
26,1.0,-2.35,-0.5154145,0.016,47.0,30.195745,0.0,13.0,3548.0,1008.0,1.0,92.81891,90.0
27,1.0,-2.35,-0.7276803,0.0133,47.0,36.204254,0.0,5.0,4254.0,1006.0,1.0,117.86628,90.0
28,1.0,-2.35,-0.8368892,0.0131,47.0,36.93617,0.0,5.0,4340.0,1008.0,1.0,130.75293,90.0
29,1.0,-2.1,-0.77946496,0.0128,42.0,34.4,0.0,4.0,3612.0,900.0,1.0,123.97687,90.0
30,1.0,-2.1,-0.7006152,0.0123,42.0,27.085714,0.0,3.0,2844.0,900.0,1.0,114.6726,70.0
31,1.0,-3.15,-0.34635687,0.0174,63.0,16.380953,0.0,19.0,2580.0,1340.0,1.0,72.87011,30.0
32,1.0,-3.15,-0.56964976,0.0118,63.0,12.6285715,0.0,2.0,1989.0,1341.0,1.0,99.21867,30.0
33,1.0,-3.15,-0.8328776,0.0129,63.0,27.75238,0.0,5.0,4371.0,1342.0,1.0,130.27956,70.0
34,1.0,-3.15,-0.70870817,0.0121,63.0,18.298412,0.0,3.0,2882.0,1342.0,1.0,115.62756,70.0
