timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
1,-6.79,-0.75,-0.39274985,0.1558,15.0,183.5,0.0,37.0,3670.0,174.0,1.0,78.34448,10.0
2,1.0,-1.35,-0.64666605,0.0136,27.0,54.637035,0.0,4.0,3688.0,572.0,1.0,108.306595,30.0
3,-0.33499998,-2.7,-0.06059433,0.0267,54.0,17.503704,0.0,39.0,2363.0,1140.0,1.0,39.15013,30.0
4,-0.34500003,-2.7,-0.1027254,0.0269,54.0,11.681481,0.0,128.0,1577.0,1140.0,1.0,44.121597,70.0
5,-0.33499998,-2.7,-0.1602726,0.0267,54.0,15.207407,0.0,61.0,2053.0,1140.0,1.0,50.912167,10.0
6,1.0,-3.1,-0.48708907,0.0161,62.0,19.574194,0.0,16.0,3034.0,1308.0,1.0,89.47651,50.0
7,1.0,-3.1,-0.6182695,0.0152,62.0,17.729033,0.0,12.0,2748.0,1308.0,1.0,104.9558,70.0
8,1.0,-3.1,-0.4888367,0.0172,62.0,20.987097,0.0,21.0,3253.0,1308.0,1.0,89.68273,50.0
9,1.0,-3.1,-0.45343587,0.0176,62.0,26.051613,0.0,22.0,4038.0,1311.0,1.0,85.50543,50.0
10,-0.31,-3.1,-0.22806087,0.0262,62.0,22.174194,0.0,118.0,3437.0,1309.0,1.0,58.911182,90.0
11,-0.33499998,-2.7,-0.24358985,0.0267,54.0,30.622223,0.0,59.0,4134.0,1145.0,1.0,60.743603,90.0
12,-0.325,-2.65,-0.24729829,0.0265,53.0,29.407408,0.0,56.0,3970.0,1146.0,1.0,61.1812,10.0
13,-0.34500003,-2.55,-0.23841977,0.0269,51.0,30.875471,0.0,104.0,4091.0,1125.0,1.0,60.133533,10.0
14,1.0,-2.25,-0.57317513,0.017,45.0,47.466667,0.0,16.0,6052.0,1083.0,1.0,99.63467,50.0
15,1.0,-2.25,-0.56787133,0.0156,45.0,50.462223,0.0,11.0,5677.0,954.0,1.0,99.00882,10.0
16,-0.375,-2.25,-0.16504349,0.0275,45.0,29.057777,0.0,75.0,3269.0,954.0,1.0,51.475132,70.0
17,-0.38,-2.25,-0.15924124,0.0276,45.0,32.284443,0.0,118.0,3632.0,955.0,1.0,50.790466,50.0
18,-0.375,-2.25,-0.15897004,0.0275,45.0,22.773333,0.0,116.0,2562.0,962.0,1.0,50.758465,70.0
19,1.0,-2.25,-0.35288846,0.018,45.0,40.81778,0.0,20.0,4592.0,956.0,1.0,73.64084,90.0
20,-0.38499996,-2.25,-0.13652149,0.0277,45.0,24.248888,0.0,110.0,2728.0,957.0,1.0,48.109535,10.0
21,-0.38,-2.25,-0.15230735,0.0276,45.0,35.537777,0.0,123.0,3998.0,956.0,1.0,49.972267,50.0
22,1.0,-2.25,-0.30164513,0.0197,45.0,41.84889,0.0,26.0,4708.0,962.0,1.0,67.594124,70.0
23,-0.38499996,-2.25,-0.17326023,0.0277,45.0,23.448889,0.0,115.0,2638.0,958.0,1.0,52.444706,50.0
24,1.0,-2.25,-0.43730596,0.0166,45.0,42.577778,0.0,15.0,4790.0,959.0,1.0,83.602104,50.0
25,-0.38,-2.25,-0.19326808,0.0276,45.0,25.182222,0.0,60.0,2833.0,971.0,1.0,54.805634,70.0
26,1.0,-2.25,-0.52186894,0.0161,45.0,33.92,0.0,13.0,3816.0,962.0,1.0,93.580536,90.0
27,1.0,-2.25,-0.8039335,0.0132,45.0,37.65333,0.0,5.0,4236.0,962.0,1.0,126.86415,90.0
28,1.0,-2.25,-0.8401277,0.0131,45.0,38.275555,0.0,5.0,4306.0,962.0,1.0,131.13507,90.0
29,1.0,-2.25,-0.78999096,0.0126,45.0,32.586666,0.0,4.0,3666.0,963.0,1.0,125.21893,90.0
30,1.0,-2.25,-0.7097074,0.0123,45.0,25.724445,0.0,3.0,2894.0,962.0,1.0,115.74547,70.0
31,1.0,-3.15,-0.36346868,0.0172,63.0,14.647619,0.0,19.0,2307.0,1341.0,1.0,74.889305,30.0
32,1.0,-3.15,-0.56093115,0.0119,63.0,12.6285715,0.0,2.0,1989.0,1340.0,1.0,98.18987,30.0
33,1.0,-3.15,-0.8256211,0.013,63.0,27.815872,0.0,5.0,4381.0,1340.0,1.0,129.4233,70.0
