timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target
1,-11.2,-0.4,-0.37248126,0.244,8.0,193.4,0.0,37.0,1934.0,88.0,1.0,75.95279,10.0
2,1.0,-1.3,-0.753922,0.0142,26.0,63.29524,0.0,4.0,3323.0,444.0,1.0,120.96279,30.0
3,-0.41500002,-2.9,-0.15748586,0.0283,58.0,12.296552,0.0,39.0,1783.0,1221.0,1.0,50.583332,30.0
4,-0.325,-2.9,-0.13739492,0.0265,58.0,13.710345,0.0,128.0,1988.0,1221.0,1.0,48.2126,70.0
5,-0.33499998,-2.9,-0.17947164,0.0267,58.0,14.172414,0.0,61.0,2055.0,1221.0,1.0,53.177654,10.0
6,1.0,-3.35,-0.54014546,0.0161,67.0,14.88,0.0,16.0,2418.0,1367.0,1.0,95.73717,50.0
7,1.0,-3.35,-0.63537455,0.0152,67.0,19.761194,0.0,12.0,3310.0,1410.0,1.0,106.9742,70.0
8,1.0,-3.35,-0.48716018,0.017,67.0,17.665672,0.0,21.0,2959.0,1410.0,1.0,89.4849,50.0
9,1.0,-3.35,-0.47058636,0.0173,67.0,17.98806,0.0,22.0,3013.0,1410.0,1.0,87.52919,50.0
10,-0.29500005,-3.35,-0.23060931,0.0259,67.0,18.614925,0.0,118.0,3118.0,1410.0,1.0,59.2119,90.0
11,-0.32,-2.55,-0.24263576,0.0264,51.0,20.620895,0.0,59.0,3454.0,1410.0,1.0,60.63102,90.0
12,-0.365,-2.5,-0.2479486,0.0273,50.0,27.02745,0.0,56.0,3446.0,1074.0,1.0,61.257935,10.0
13,-0.375,-2.35,-0.26501462,0.0275,47.0,32.68,0.0,104.0,4085.0,1054.0,1.0,63.271725,10.0
14,1.0,-2.35,-0.5802545,0.0168,47.0,51.48085,0.0,16.0,6049.0,991.0,1.0,100.47003,50.0
15,1.0,-2.35,-0.62305653,0.0155,47.0,55.387234,0.0,11.0,6508.0,991.0,1.0,105.52067,10.0
16,-0.38999996,-2.35,-0.1931408,0.0278,47.0,33.957447,0.0,75.0,3990.0,992.0,1.0,54.790615,70.0
17,-0.38,-2.35,-0.19202194,0.0276,47.0,27.982979,0.0,118.0,3288.0,1001.0,1.0,54.65859,50.0
18,-0.38,-2.35,-0.18138756,0.0276,47.0,28.714893,0.0,116.0,3374.0,995.0,1.0,53.403732,70.0
19,1.0,-2.35,-0.37701112,0.0178,47.0,42.059574,0.0,20.0,4942.0,1001.0,1.0,76.48731,90.0
20,-0.375,-2.35,-0.15389039,0.0275,47.0,20.987234,0.0,110.0,2466.0,1002.0,1.0,50.159065,10.0
21,-0.425,-2.0,-0.16653468,0.0285,40.0,29.11,0.0,123.0,2911.0,849.0,1.0,51.651093,50.0
22,-0.025000028,-2.0,-0.2963792,0.0205,40.0,40.0,0.0,26.0,4000.0,851.0,1.0,66.97275,70.0
23,-0.425,-2.0,-0.16584803,0.0285,40.0,23.04,0.0,115.0,2304.0,852.0,1.0,51.57007,50.0
24,1.0,-2.4,-0.44729587,0.0168,48.0,37.191303,0.0,15.0,4277.0,979.0,1.0,84.780914,50.0
25,-0.365,-2.4,-0.17996144,0.0273,48.0,22.741667,0.0,60.0,2729.0,1022.0,1.0,53.23545,70.0
26,1.0,-2.4,-0.51351535,0.0158,48.0,27.825,0.0,13.0,3339.0,1022.0,1.0,92.59481,90.0
27,1.0,-2.4,-0.8366519,0.0132,48.0,36.783333,0.0,5.0,4414.0,1023.0,1.0,130.72493,90.0
28,1.0,-2.4,-0.833842,0.0131,48.0,36.666668,0.0,5.0,4400.0,1023.0,1.0,130.39336,90.0
29,1.0,-2.4,-0.7828801,0.0127,48.0,30.658333,0.0,4.0,3679.0,1025.0,1.0,124.37985,90.0
30,1.0,-2.4,-0.7027655,0.0123,48.0,23.8,0.0,3.0,2856.0,1023.0,1.0,114.92633,70.0
31,1.0,-4.05,-0.4199074,0.017,81.0,9.873418,0.0,19.0,1950.0,1673.0,1.0,81.54907,30.0
32,1.0,-4.05,-0.55963415,0.0119,81.0,9.925926,0.0,2.0,2010.0,1715.0,1.0,98.03683,30.0
33,1.0,-4.05,-0.8311169,0.0128,81.0,21.624691,0.0,5.0,4379.0,1715.0,1.0,130.0718,70.0
34,1.0,-4.05,-0.69697404,0.0121,81.0,14.172839,0.0,3.0,2870.0,1715.0,1.0,114.242935,70.0
35,1.0,-4.05,-0.77302486,0.0126,81.0,18.286419,0.0,4.0,3703.0,1718.0,1.0,123.216934,90.0
36,1.0,-2.55,-0.618726,0.0146,51.0,14.340741,0.0,10.0,2904.0,1718.0,1.0,105.00967,90.0
37,1.0,-2.55,-0.83386827,0.0139,51.0,35.662746,0.0,7.0,4547.0,1085.0,1.0,130.39645,50.0
38,1.0,-2.55,-0.57404846,0.0119,51.0,15.537255,0.0,2.0,1981.0,1086.0,1.0,99.73772,10.0
39,1.0,-3.5,-0.5681181,0.0173,70.0,8.005714,0.0,20.0,1401.0,1488.0,1.0,99.03793,30.0
40,-0.27499998,-3.5,-0.16922033,0.0255,70.0,6.285714,0.0,64.0,1100.0,1486.0,1.0,51.968,90.0
41,1.0,-3.95,-0.5148862,0.0162,79.0,9.772152,0.0,18.0,1930.0,1669.0,1.0,92.75657,70.0
42,-0.26,-3.95,-0.2303021,0.0252,79.0,4.4455695,0.0,99.0,878.0,1676.0,1.0,59.175648,30.0
43,-0.26,-3.95,-0.24311726,0.0252,79.0,5.797468,0.0,127.0,1145.0,1676.0,1.0,60.687836,10.0
44,-0.25000003,-3.95,-0.24377942,0.025,79.0,5.7367086,0.0,139.0,1133.0,1677.0,1.0,60.765972,50.0
