timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
1,-3.27,-0.4,-0.90139925,0.0854,8.0,192.6,0.0,37.0,1926.0,89.0,1.0,138.36511,10.0,7,16,15,11,13,10,14,10,2,12
2,1.0,-0.8,-0.8008661,0.0046,16.0,36.6,0.0,4.0,1464.0,341.0,1.0,126.502205,30.0,19,16,9,11,10,11,10,10,11,13
3,1.0,-0.95,-0.8048549,0.0182,19.0,27.936842,0.0,39.0,1327.0,404.0,1.0,126.972885,30.0,87,16,9,11,11,11,11,10,11,13
4,-0.004999969,-1.15,-0.8293753,0.0201,23.0,24.52174,0.0,128.0,1410.0,491.0,1.0,129.86629,70.0,89,17,10,12,9,11,10,10,11,13
5,1.0,-1.15,-0.86224467,0.0188,23.0,21.652174,0.0,61.0,1245.0,500.0,1.0,133.74487,10.0,89,16,7,11,8,11,9,11,8,13
6,1.0,-1.15,-0.8302683,0.0075,23.0,18.086956,0.0,16.0,1040.0,502.0,1.0,129.97166,50.0,85,16,8,11,7,11,9,11,8,13
7,1.0,-1.15,-0.8815085,0.0066,23.0,17.147825,0.0,12.0,986.0,503.0,1.0,136.018,70.0,67,17,7,11,7,11,8,10,9,13
8,1.0,-1.15,-0.9367762,0.0093,23.0,17.095652,0.0,21.0,983.0,501.0,1.0,142.5396,50.0,88,17,5,11,6,11,8,10,7,13
9,1.0,-1.0,-0.93865305,0.0101,20.0,17.38,0.0,22.0,869.0,436.0,1.0,142.76106,50.0,82,17,12,11,10,11,9,10,13,13
10,-0.070000045,-0.95,-0.94382143,0.0214,19.0,31.957895,0.0,118.0,1518.0,416.0,1.0,143.37093,90.0,77,16,10,11,11,11,8,10,12,13
11,-0.099999994,-0.9,-0.9331616,0.022,18.0,33.488888,0.0,59.0,1507.0,397.0,1.0,142.11307,90.0,79,16,9,11,16,11,11,10,17,13
12,-0.07500003,-0.9,-0.8519723,0.0215,18.0,31.444445,0.0,56.0,1415.0,397.0,1.0,132.53273,10.0,86,16,7,11,9,11,7,10,12,13
13,-0.025000028,-0.9,-0.8398576,0.0205,18.0,28.51111,0.0,104.0,1283.0,397.0,1.0,131.1032,10.0,86,17,6,11,9,11,7,10,10,13
14,1.0,-0.9,-0.84749603,0.0078,18.0,28.622223,0.0,16.0,1288.0,397.0,1.0,132.00453,50.0,74,17,6,11,12,11,9,10,10,13
15,1.0,-0.9,-0.89989096,0.0065,18.0,24.311111,0.0,11.0,1094.0,397.0,1.0,138.18713,10.0,58,16,7,11,9,11,7,10,8,13
16,-0.18000004,-0.9,-1.0086474,0.0236,18.0,26.311111,0.0,75.0,1184.0,397.0,1.0,151.0204,70.0,89,16,7,11,9,11,7,10,9,13
17,-0.15499999,-0.9,-0.99089944,0.0231,18.0,24.688889,0.0,118.0,1111.0,397.0,1.0,148.92613,50.0,88,16,6,11,12,11,9,10,9,13
18,-0.15499999,-0.9,-1.0193423,0.0231,18.0,22.177778,0.0,116.0,998.0,397.0,1.0,152.2824,70.0,90,16,6,11,6,11,4,10,8,13
19,1.0,-0.9,-0.98478025,0.01,18.0,20.422222,0.0,20.0,919.0,397.0,1.0,148.20407,90.0,89,16,5,11,6,11,4,10,7,13
20,-0.13500002,-0.9,-1.0203174,0.0227,18.0,21.288889,0.0,110.0,958.0,397.0,1.0,152.39746,10.0,92,16,5,11,6,11,5,10,7,13
21,-0.16499998,-0.9,-1.0357937,0.0233,18.0,22.266666,0.0,123.0,1002.0,397.0,1.0,154.22365,50.0,92,16,5,11,6,11,5,10,7,13
22,1.0,-0.9,-1.037744,0.0129,18.0,20.711111,0.0,26.0,932.0,397.0,1.0,154.4538,70.0,91,16,5,11,7,11,5,10,8,13
23,-0.16499998,-0.9,-1.0067801,0.0233,18.0,24.533333,0.0,115.0,1104.0,397.0,1.0,150.80006,50.0,91,16,5,11,7,11,6,10,8,13
24,1.0,-0.9,-1.0183429,0.0082,18.0,25.533333,0.0,15.0,1149.0,397.0,1.0,152.16446,50.0,82,16,6,11,8,11,6,10,9,13
25,-0.15499999,-0.9,-1.0448028,0.0231,18.0,34.97778,0.0,60.0,1574.0,397.0,1.0,155.28673,70.0,90,16,7,11,9,11,7,10,10,13
26,1.0,-0.9,-1.0186831,0.0074,18.0,33.0,0.0,13.0,1485.0,397.0,1.0,152.2046,90.0,69,16,7,11,9,11,7,10,10,13
27,1.0,-0.9,-1.1048774,0.005,18.0,33.4,0.0,5.0,1503.0,397.0,1.0,162.37553,90.0,25,16,7,11,10,11,8,10,11,13
28,1.0,-0.9,-1.1301107,0.0049,18.0,39.0,0.0,5.0,1755.0,397.0,1.0,165.35307,90.0,23,16,9,11,12,11,9,10,12,13
29,1.0,-0.9,-1.2429017,0.0049,18.0,44.066666,0.0,4.0,1983.0,397.0,1.0,178.6624,90.0,16,16,10,11,13,11,11,10,15,13
30,1.0,-0.9,-1.3678476,0.0048,18.0,42.68889,0.0,3.0,1921.0,397.0,1.0,193.406,70.0,10,16,10,11,13,11,10,10,14,13
31,1.0,-0.8,-1.1527853,0.0102,16.0,45.08889,0.0,19.0,2029.0,397.0,1.0,168.02867,30.0,76,16,11,11,13,11,10,10,13,13
32,1.0,-0.8,-1.1315954,0.0044,16.0,36.65,0.0,2.0,1466.0,353.0,1.0,165.52826,30.0,7,16,8,11,8,11,8,10,9,13
33,1.0,-0.8,-1.0184971,0.0053,16.0,38.15,0.0,5.0,1526.0,353.0,1.0,152.18266,70.0,25,16,9,11,9,11,8,10,9,13
34,1.0,-0.8,-1.1853288,0.0048,16.0,38.25,0.0,3.0,1530.0,353.0,1.0,171.8688,70.0,13,16,9,11,9,11,9,10,10,13
35,1.0,-0.8,-1.1371192,0.0051,16.0,35.15,0.0,4.0,1406.0,353.0,1.0,166.18007,90.0,19,16,8,11,8,11,8,10,10,13
36,1.0,-0.8,-1.0442723,0.0066,16.0,35.925,0.0,10.0,1437.0,354.0,1.0,155.22414,90.0,52,16,8,11,7,11,8,10,10,13
37,1.0,-0.8,-1.0370374,0.0054,16.0,35.7,0.0,7.0,1428.0,354.0,1.0,154.3704,50.0,37,16,7,11,8,11,7,10,9,13
38,1.0,-0.8,-1.2633536,0.0045,16.0,39.35,0.0,2.0,1574.0,353.0,1.0,181.07573,10.0,7,16,9,11,9,11,9,10,10,13
39,1.0,-0.8,-1.0086837,0.011,16.0,39.7,0.0,20.0,1588.0,354.0,1.0,151.02467,30.0,79,16,10,11,9,11,8,10,11,13
40,-0.22499996,-0.8,-1.0330023,0.0245,16.0,40.225,0.0,64.0,1609.0,354.0,1.0,153.89427,90.0,81,16,9,11,9,11,9,10,9,13
41,1.0,-0.8,-1.0486232,0.0099,16.0,41.375,0.0,18.0,1655.0,353.0,1.0,155.73753,70.0,81,16,10,11,7,11,7,10,10,13
42,-0.255,-0.75,-1.0523146,0.0251,15.0,38.625,0.0,99.0,1545.0,354.0,1.0,156.17313,30.0,85,16,8,11,7,11,7,10,8,13
43,-0.32999998,-0.75,-1.1073309,0.0266,15.0,39.066666,0.0,127.0,1465.0,332.0,1.0,162.66505,10.0,84,16,8,11,10,11,11,10,12,13
44,-0.34500003,-0.75,-1.1200848,0.0269,15.0,43.253334,0.0,139.0,1622.0,331.0,1.0,164.17,50.0,85,17,11,11,7,11,7,10,11,13
45,-0.29500005,-0.75,-1.0817152,0.0259,15.0,40.32,0.0,130.0,1512.0,333.0,1.0,159.6424,70.0,84,17,9,11,8,11,7,10,8,13
46,-0.305,-0.75,-1.0959294,0.0261,15.0,42.18667,0.0,133.0,1582.0,331.0,1.0,161.31967,30.0,83,17,7,11,11,11,11,10,12,13
47,-0.28499997,-0.75,-1.0883666,0.0257,15.0,42.72,0.0,123.0,1602.0,332.0,1.0,160.42726,10.0,85,17,11,11,8,11,8,10,11,13
48,-0.32,-0.75,-1.1102227,0.0264,15.0,42.0,0.0,127.0,1575.0,332.0,1.0,163.00627,70.0,83,17,9,11,9,11,8,10,10,13
49,-0.325,-0.75,-1.1126435,0.0265,15.0,46.48,0.0,132.0,1743.0,332.0,1.0,163.29193,90.0,83,17,8,11,12,11,11,10,12,13
50,-0.31,-0.75,-1.1183248,0.0262,15.0,43.333332,0.0,130.0,1625.0,332.0,1.0,163.96233,90.0,84,17,11,11,8,11,8,10,13,13
51,-0.305,-0.75,-1.0664638,0.0261,15.0,42.48,0.0,146.0,1593.0,332.0,1.0,157.84273,90.0,83,17,8,11,9,11,8,10,10,13
52,-0.33499998,-0.75,-1.1327356,0.0267,15.0,45.706665,0.0,141.0,1714.0,333.0,1.0,165.6628,30.0,81,16,10,11,12,11,12,10,12,13
53,-0.33499998,-0.75,-1.1421344,0.0267,15.0,44.826668,0.0,131.0,1681.0,332.0,1.0,166.77187,90.0,81,16,10,11,9,11,9,10,12,13
54,-0.32,-0.75,-1.1198734,0.0264,15.0,42.72,0.0,131.0,1602.0,334.0,1.0,164.14507,30.0,83,16,8,11,8,11,8,10,9,13
55,-0.32,-0.75,-1.1561533,0.0264,15.0,46.96,0.0,132.0,1761.0,333.0,1.0,168.42609,70.0,81,16,10,11,12,11,12,10,12,13
