timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
1,-3.02,-0.4,-0.79999536,0.0804,8.0,186.8,0.0,37.0,1868.0,89.0,1.0,126.39945,10.0,7,15,13,10,17,10,1,8,14,11
2,1.0,-0.75,-0.77373224,0.0043,15.0,38.08,0.0,4.0,1428.0,319.0,1.0,123.30041,30.0,18,15,11,10,14,10,11,9,10,12
3,1.0,-0.75,-0.7277678,0.0185,15.0,30.773333,0.0,39.0,1154.0,321.0,1.0,117.8766,30.0,81,15,9,10,14,10,11,9,9,12
4,-0.10499998,-0.85,-0.7455462,0.0221,17.0,32.0,0.0,128.0,1360.0,369.0,1.0,119.97446,70.0,84,15,8,10,11,10,10,9,8,12
5,-0.070000045,-0.85,-0.7568271,0.0214,17.0,26.4,0.0,61.0,1122.0,372.0,1.0,121.3056,10.0,84,15,8,10,11,10,10,9,7,12
6,1.0,-0.85,-0.7389819,0.0078,17.0,25.788235,0.0,16.0,1096.0,373.0,1.0,119.19987,50.0,83,15,7,10,12,10,5,9,7,12
7,1.0,-0.85,-0.7585068,0.0065,17.0,24.84706,0.0,12.0,1056.0,373.0,1.0,121.5038,70.0,64,15,7,10,10,10,5,9,7,12
8,1.0,-0.85,-0.81262034,0.0099,17.0,44.564705,0.0,21.0,1894.0,374.0,1.0,127.8892,50.0,82,15,9,10,16,10,11,9,13,12
9,1.0,-0.85,-0.7824887,0.0102,17.0,43.317646,0.0,22.0,1841.0,374.0,1.0,124.333664,50.0,74,15,10,10,22,10,12,9,12,12
10,-0.054999977,-0.85,-0.7713847,0.0211,17.0,35.10588,0.0,118.0,1492.0,374.0,1.0,123.0234,90.0,77,15,12,10,24,10,11,9,10,12
11,-0.114999965,-0.85,-0.7867542,0.0223,17.0,40.941177,0.0,59.0,1740.0,375.0,1.0,124.837,90.0,80,15,10,10,24,10,12,9,14,12
